,일자,구,일반승차인원,일반하차인원,일반환승인원,청소년승차인원,청소년하차인원,청소년환승인원,어린이승차인원,어린이하차인원,어린이환승인원,미분류승차인원,미분류하차인원,미분류환승인원
255,2023년 04월 21일,동구,159043,140110,39491,167658,146609,41114,159793,140811,39563,159078,140160,39491
256,2023년 04월 21일,서구,235769,204246,56335,246884,212715,58171,236728,205040,56416,235769,204246,56335
257,2023년 04월 21일,중구,125327,114897,27238,133924,120783,28531,126080,115527,27295,125327,114897,27238
258,2023년 04월 21일,대덕구,80927,71669,16214,85717,75049,16753,81369,72019,16245,80929,71670,16214
259,2023년 04월 21일,유성구,146692,131913,30690,155456,138817,32129,147446,132564,30741,146693,131914,30690
260,2023년 04월 22일,동구,124260,110697,27804,128820,114233,28567,125182,111488,27899,124298,110739,27804
261,2023년 04월 22일,서구,158905,137522,35722,166586,143467,36917,160321,138675,35883,158905,137522,35722
262,2023년 04월 22일,중구,94601,86007,18261,98994,89258,18903,95533,86799,18348,94601,86007,18261
263,2023년 04월 22일,대덕구,52486,45812,9525,55117,47678,9878,52966,46170,9555,52487,45814,9525
264,2023년 04월 22일,유성구,94694,86120,18627,99197,89918,19320,95627,86947,18736,94694,86121,18627
